,parent,text,label
24,The primacy of Jesus' role w.r.t. the Ebionites is also speculation.,All the primary sources (patristic evidence) and the overwhelming majority of secondary sources (which include some of the scholars you rely on) assert the primacy of Jesus in the eyes of Ebionites since they viewed him as the Messiah regardless of how they defined the concept.,0
25,"O.K. I'll sleep on it, and see if I come up with anything more scientific.","I've thought about it, and I can't think of anything better and more concise than ""Disused dinosaur names"", unless we want to go longer, like ""Dinosaur names not in scientific usage.""",0
26,"What browser are you using Jon? Works fine in Opera and Netscape. The wide grided version conflicted with the image in Netscape. Grid lines - esp. wide ones - are an unnecesary distraction for a short table. Extra columns redundat and not needed, see above discussion, -","I'm using IE. The chart without lines is unreadable because the columns don't line up. The ""extra columns"" are not redundant and they are useful information and should stay.",0
27,It doesnt say so anywhere in Planckian locus,"Well, it should. I will fix that.",0
28,Can you elaborate? I do not see copyvio here.,"copyrights stated on both pages, artukraine site is selling such photos, so it can't be used.",0
29,The WP:AMA provides advocacy.,"Thanks, I've opened an advocacy request there. Also, thank you for trying your best to mediate. I see no fault in any of your actions. Thank you for blanking the accusations against me when closing the case.",0
30,I see you have done a good job here. We need to continute to work on this page and make it exemplery.thanks.,Can you provide citation for the I added in Astadiggajas.I have added the source reference for this tagged page. (Prof Sastri).thanks.,0
31,well done!,this isn't a shouting contest. we need to treat one another with respect despite our disagreements.,0
32,"No, that's not right, and the edits you made on that basis are seriously flawed. latent heterozygosity = inability to interbreed. Creationists haven't proposed (that I'm aware of, or that you've cited) any 'new' mechanisms to explain 'speedy microevolution' you're just tried to 'claim' parts of the standard mechanism as in some way particular to CB.","i disagree. if the original kind was Camas, it could easily differentiate into camels and llamas. no new mechanism. no nothing.",0
33,this article will never make it to CD as long as Rick dilegently stands guard here with his POV Rants and deliberatly beats any other contributor with his diatribe of POV babble. if they dare question his obvious POV contribution!,"Hi, MadDogCrog. Good to know that my contribution is not forgotten. I'm tempted to leave it at that, but I did want to mention that most of my work these days is in the staunchly conservative area of good grammar and sentence structure. This has liberals calling me an archconservative and conservatives calling me an archliberal.",0
34,"However, creationists do disagree on the timescales invovled. Biology doesn't claim that camels and llamas descended from the same ancestor a few thousand years ago.","yes, the timescales are different.",0
35,"Yes i very much want to help with this and realise it's been a while, which I'm sorry about. Rarelibra provided some data, above, that might be relevant to this. ++: /","Great! Note my only concern was that you might not have time, etc. Is there anything a few of us (on both sides of the argument) can help in the grunt work? regards,",0
36,"You used ""rvv"". What does that mean? Shall we head over to your user page and find out?",rvv = revert vandalism - don't call me a liar.,0
37,"The article is titled chemical industry, no chemical businesses. Therefore, it would seem logical that it relates to those terms and should cover such material.",industry = business. there are already plenty of articles on chemistry itself. and please cite reliable sources.,0
38,The Middle Way is often best.,I put back the removed esposito quote. I don't think you will find bad points of his legacy from RS. 'Peace'.,0
39,"Its because of the mouth flaps. ""Kis-ke"" vs ""ur-a-ha-ra"". You simply can't fit Urahara with the lip movements.","I'm not complaining, I was just making a point, although the point about mouthflaps does make sense. I think he was referred to as simply 'boss' or 'manager' in later episodes though.",0
40,"Yes, and 'those' edits you made, are actually fine. But for the simple reason itself that TV Documentary redirects to Documentary film, and the fact that virtually all of the sources refer to the program as ""program"", ""TVTV program"" ""award-winning documentary"" or ""documentary"", the film categories can remain and are inclusive. .","I disagree, Smee. This is not a film and categorizing the article as such is not right. I will ask the third opinion user to comment again. Good night for now.",0
41,I agree with both of you. I'll try to update the page with something. x -,"And just where are you going to get this driver's license and passpoort information, without violating Wikipedia:No original research?",0
42,"Also, many Dalits who were persecuted debate as to whether they are Hindus or not. Persecution of Dalits is discussed at length in their articles, as are reform movements and emancipation.",Women started shaving there heads when their husbands died so they wouldn't raped by islamic invaders. That was also the time when sati became more widespread.,0
43,"i'm just addressing the questions as i've been instructed. ""creationist common sense"" is probably a good name for it. you tell me the bear-dogs are extinct, but i haven't seen the fossils. i've seen bears, and i've seen dogs, but no bear-dogs.","I still don't see hiw it's helping with regard to the state of the article. So in other words, yes, you want me to go on a evidenciary hunt for eocene proto-carnivores, so's you can tell me after the fact what criteria you'll be using to dismiss them? (The genetic similarity point you don't address at all.)",0
44,SHe had to protect because she knew a block would get overturned.,"Probably. Heh, this is frustrating-",0
45,is an Art Dominique sockpuppet.,Whatever. I've never had any knowledge of him prior.—,0
46,"The proofread is complete. A few concerns remain about content; namely, that a few sentences need clarifying.",Happy times.,0
47,"""This guideline does not require that editors continue to assume good faith in the presence of evidence to the contrary."" -","That doesn't buy your way out of WP:CIV, and remember that WP:AGF cuts both ways. Why should we assume good faith of you, if you continue to broadcast your intention to adhere to WP:CIV and WP:NPA only when you feel like it?",0
48,"A lot of commentators believe that repealing the Fairness Doctrine was the act that gave birth to the conservative talk radio genre. You're right, however; this sentence seems like an unfinished thought.","The repal of the Fairness Doctrine clearly helped Rush's career. I think the quote I put in (from the Wall Street Journal) makes this clear, as does the article, which is linked in the reference.",0
49,I presume you want a userfied copy of tbe deleted page so that you can work on the other page? -,"Opps, I think I got what you mean now. My apologies for the error. I suppose the current version's history is now correct? -",0
50,"This is becoming frustrating as Darkcatappears to be ignoring good-faith attempts to fix the situation. I've warned Darkcatwith since this edit involved removing citations. Since WP: has already been used, what do you think about opening up a request for comment?","Ack, I did. Sorry about that. I'll request comment at WP:RFC/USER now. (To be sure, WP:RFC/USER and not WP:RFC/BIO, right?)",0
51,"I really hate having the sig automatically included in the warning template. I tried about four times to get the syntax right here, then gave up and went to an old template. Could we just go back to the way things used to be, as far as sigs are concerned? -","You need to subst the template - at least I think that is what broke it. You should be doing this with all templates on user talk pages, AFAIK. → •",0
52,"Just goes to show, we're everywhere! '","I found a good way to include pics. I tried it out with A and it works quite nicely! See . I will locate different pics. To be honest, I hate that the first pic is a porn star, but this is just an example. '",0
53,"Thanks. I didn't want to barge in and remove them myself, in case I was missing something. Perhaps I was not BOLD enough this one time.",I'm not especially bold and sometimes find it helpful to seek a second opinion from other editors. -),0
54,I'm sure this is a good place for your request. I'm in a similar position to you so I won't be able to help much. You could also leave a message at WikiProject Religion.,A message has been left there.,0
55,"Look, I don't know whatever you are Azeris or Turk, but it doesn't matter much. But, suffice to say that not much is needed to destroy his character only by quoting him. His wordings are made in such fashions that tallarmeniantale.com would sound as an Armenophilic webside when compared.","Samuel Weems actually was interviewed by Tall Armenian Tale, but I suppose that's beside the point.",0
56,"That is a 'significantly' better Citizendium article, JF, and I think it should replace the bloated blog of a page that currently exists.","Agreed. 'Very' nice work, JFPerry. Just one copyediting issue I see: it overuses parenthetical statements. Everywhere possible, work them into the text instead.",0
57,"Depends on what Selmo thinks. If he hasn't the need for a coach (or wants a different one), I'd be happy to take another. To be honest, the kind of student that I want the most is a complete n/newb/newbie/newcomer who has many questions to ask.",I just left a message.,0
58,"To elaborate: single record from North Keeling, April - June Info from HANZAB , p.",Does a single vagrant record really justify inclusion?,0
59,"The section is about 'sources' for John, and although I belieev Egerton has been suggested as a source, the real interest and relevance is the 'closeness', as you yourself say. I would certainly mention Egerton in the article, but I'm not sure it belongs under 'sources'.",I deleted the para about artistic representations as it seems to me unrelated both the the article and to this section. The Egerton para is relevant to the article but the relevance needs to be made more explicit IMO.,0
60,I have changed the lead paragraphs in an attempt at clarity. -,"Thanks, Special-T. I like what you've done there.",0
61,"d Having watched RfA for a while, I doubt I'd qualify. Not enough edits.",Wot is your count? It used to be needed,0
62,"I have no opinion of his intent, and I'm not familiar with the previous history of this issue. I'm merely seeing to it that ""process"" gets done on this occasion, so that the outcome could be cited as definitive on future occasions. Like you, I wish he hadn't uploaded the image.","Actuallly, I wish he hadn't 're'-uploaded the image. I'm sure the current agitation for placing more and more explicit photographs into Wikipedia will run its course and be dealt with eventually. -",0
63,Another sockpuppet? Wow...,"Reaves, Reaves, Reaves, will you ever learn? It's your old friend from last week. You really should just give up, close your account and move on. Your talk history is starting to get embarrassing....",0
64,"I do have some people I would approach, but I have no idea if they would accept. I will if people want. These are experienced people from WP with no interest in physics, but very good writers.","Ancheta Wis, even if those edits are reversed, or saved in some place, they are valuable for one main reason: They have jump-started the conversation which was dead here for many many weeks. I started it because I was unable to get a response, in spite of repeated attempts for weeks and weeks. So if the edits got people interested in returning, then they served a major purpose.",0
65,"We're just trying to help. That your behavior has been egregious is obvious to everyone but yourself. If an RfC can give you the reality check that gets you back on the right path, then we should do it by all means, and immediately. -",No youre not! Please dont try to patronise me (( You will feel the full force of an Rfc. Are you braced for it?,0
66,"Still not working. It still say ""You are not on the user list"" Happy Editing by on",Cookies are working. IE version is xpspgdr.Happy Editing by on,0
67,"Well, it's up, except for /b/. Now, GET ON WITH YOUR LIVES. I know I will.—",Duly noted. { • },0
68,"It's a direct quote from RTD. Let's put it this way: do 'you' have a citation for the spelling ""Sek""? If not, we really should go with what's been in print in a reliable source. — •","Actually, I just noticed it's written as ""Sec"" in 'Doctor Who Fact Files Vol. Daleks' too. — •",0
69,"Thanks for the reply, having re-read the intro the section on the bans could be lengthend. Could you say what else specifically you think needs adding to the intro.",I think we should add something about the journalistic standards in the lead.,0
70,"Thanks so much for the above info I did not realise what the problem was and thankyou so much for putting me in the correct place, I really appreciate it! Kindest regards, Karyn","You're most welcome! I really appreciate you understanding and not thinking that I'm trying to shutdown your contribution at allto the contrary, I'm trying to avoid the prior wars on the Tarot pages that were resulting in censorship of a lot of good information about the way that you and I use tarot. Personally, I think the creation of a separate page for our purposes is a good move.",0
71,"Taiwanlove indef'ed, and Nationalist blocked for another hours for sockpuppetry, R, and because it's his h block.","Sorry, actually it's Toucheng, Yilan.",0
72,"Who can substantiate the claims made in this article (a) about the year and (b) about 'LOL' being the ""most widely used abbreviation""? And should the article be moved to the capitalised LOL?","Acronyms are always capitalised (with the exception of maybe scuba). So yes, this article should either be moved to LOL, LOL (Internet slang) or something along those lines.",0
73,"According to their respective articles, Engadget has won awards and Weblogs was bought for $. Autoblog's article said nothing like that, only that it's a blog service (or whatever it is).","So, therefore, if Autoblog has won awards, this is notable enough for it to have its own article as long as it's mentioned in the article?",0
74,"If you read any decent book on typography, you would learn that italics are used just for that purpose. –","The use of larger text is much more efficient in making things more visible. However, this is a moot point; see below.",0
75,"This is getting very annoying. Now we have ""MouseWarrior"", ""Paul T. Evans"" and Jaakobou all reverting this article.","I've asked Jaakobou if he is also MouseWarrior. Here and on his . He has not responded to that particular question, yet.",0
76,"Yeah, if you find a better one, let me know. I found this one here: commons:Category:Star_symbols.↔•","Take a look at Image:Crystal Clear action bookmark.png and Image:Five-pointed star.svg. If you want me to, I'll try to put these together into a series of ratings star images when I get home this evening. \",0
77,"I think the best rev. is by Tajik right now. Let's keep all refs as they are. As for Azeris being not Turk, do you want to deny Frey or Encyclopedia Iranica?",Of Course - Richjard Frye is a historican. I rely on science when come to anthropology. Read Cambridge University DNA mapping of Azaris.,0
78,"Yeah I know. But I felt like putting it on there till someone else fixed it. I'm not the greatest encyclopedia writer, but I do have knowledge and information to share. Thanks for caring enough to share",Also I'll add this. There is still way more Euro-american bias out there then one my little article on my people.,0
79,"I have to say, that takes the cake for nonsequiturs. People sells a lot more copies than The New Yorker; is it therefore a better magazine? If WP was the number one website, would it be absolutely perfect? As far as I'm concerned, I look at Wikipedia and see a lot of room for improvementit's what keeps me coming back.","With some of the magazines, they either got permission to use the photos in the magazine or bought them from a press agency. That is how newspapers also get their photos is by buying the pics. Wikipedia, if we get our act together, could actually liberate content. We done it with the US Holocaust National Memorial Museum, we can do it for others.",0
80,Because sometimes I like doing things other than getting yelled at. >:( - ',"You are a piece of work....someone stands up to you...you threaten to block them. I read WP:POINT and I have not done any disruptive editing on any page, but this one and last I checked this is a talk page. You want me to go away, fine, I go away. You can go back to destroying the TV section of Wiki. You keep up the good work. -",0
81,How do we know that he was the first one to do it?,Rodney Mullen's autobiography: 'The Mutt: How To Skateboard And Not Kill Yourself'.,0
82,"It 'says' that there is a page history, so I check it. If my suggestion were doable, it wouldn't say there was a page history if there were only two contributions (the original page creation and then the tag). But this won't be implemented until you suggest creating an admin-bot to do it, whereupon Werdna will hard-code it overnight. Regards,","What says there is a page history? I'm not understanding what you're talking about. As far as I can tell, the history tab is always blue, so nothing is ever going to tell you there's no page history until you click through to see it.",0
83,"Glad to have someone in my camp. -) Yeah, I don't like that link to ""computer monitor"" either, but I think ""video display"" should be linked to something. But linking it to ""CRT"" or ""television set"" isn't really appropriate either. I'm sure we can find something... — '","Clearly my edits are widely against, so I'll back down. However, I'm uncertain why the ""interactive entertainment"" paragraph is there, it's useless - it isn't even mentioned in the article.",0
84,"I agree. If all else fails and we don't have any other picture of that particular car, then use them. But the photography is horrible. We are aiming for the clearest, most informative photo we can get - wild angles just make it harder for the poor reader to understand the photo. Try to remember - we aren't trying to advertise the car - we are trying to describe it.","The thing I understood about photo's was that they are trying to be encyclopedic, in otherwords as informative as possible, not at all distracting. If there are no other pictures available then by all means use them, but often there is a better option.",0
85,I've expanded Ostia Antica (modern). Maybe you can copyedit my English there (I'm Italian). Ciao and good work.,"Certo. Ho appena notato la tua pagina personale... devo confessarti che sembra un po' WP:vanity, dato che effettivamente non hai pubblicato nulla (un po' come nel mio caso). Cosa ne pensi?",0
86,"But the size problem will always be there. They want nice little articles that will look good in a silver frame on the victorian mantelpiece, right next to a Britannica article. I wonder what would happen if one copied an article from Britannica (paraphrasing it, course) and then sent it for FA? Ho-hum.","Makes me sick! This is the best article on Macca that I've read, speshly on the net, and as for Britannica's, laugh? I nearly handed 'round me ciggies!",0
87,"If you unblock me, I promise that I will not do anymore categorization.","Done, thank you.",0
88,"Agreed, having lived in Adelaide for years, I've never once heard anything about people celebrating it here. Suggest deletion.","Because you three people don't celebrate this holiday you think it should be deleted from an encyclopedia? What kind of sense does that make? I don't believe in Buddha and I'm sure I can find two other people who don't either. Should we delete buddhism now? Make your arguments logical before posting. ~Greg, California, U.S.A. Feb pm pst~",0
89,salam ostad.man iran (astara) gorban olom u hanjaraya azarbayjan mosigisinda bir nafar olsa da oda (ostad ALIM GASIMOV)dir naja ki iranda (ostad Mohamad riza shajarian) dir goraban olom sizlara (hossein nematollahi),"In English, please.",0
90,"Uh-huh, so if a launch had games with an average of a game scoring would be above average? Whatever.","Yes, of course it would. games is not exactly a small number to compare it to, and it is defintely below average when compared to them, so saying in the article that the game was rated average is definitely not true, especially when followed by such negative comments. Even when compared to ratings of other games on other consoles, is not average.",0
91,"Ah, I see.",Well I did think you were addressing me at first. I might not have looked at my post to him again if I hadn't.,0
92,"If it's not so different, just use manga images. As they are the first done, and the only ones made by Bleach creator.","If it's not so different, why not use the clearer and better rendered anime images? As anime images are predominantly used on most character pages, (where possible), there's no reason to ignore that tact here. – '",0
93,"Sure, you can start it right now. If you want me to do any specific thing for the article please let me know. I was thinking about highlighting the political activities during the movement by creating a section in Language Movement article with giving link of a separate article named Role of political parties during Language Movement. Anymore ideas? Please let me know.",I am trying to find books but most of the websites do not allow me to get in. What should I do? Would I provide the links at the talk page? Anyway bhai has collected some. please have a look at talk:Language Movement.,0
94,"please give the exact page of Chau Ju-kua, 'Travels in Chola' you quote in cavalry tactics, so we can verify your statements (and add this information also to the other books you quote). Otherwise the information is not verifiable and must be deleted.","Wikipedia guidelines never require the inclusion of the page number, even in a full citation. See Wikipedia:Citing_sources. Obviously as well, in your very substantial number of additions in this article, you have never included a reference with page numbers.",0
95,"The ""speakers"" are still mentioned in the article, but nobody seems to be interested in discussing this very dubious ""fact"" here. But if anybody deletes this information I am sure it will be restored in less than a day. So, somebody prefers to believe it. Is there any source at all (other the SIL), confirming this number?","Still no discussion here. But I made a minor change in the article (just for a test). In just TWO MINUTES it was reverted! The alarm system is efficient, congratulations!",0
96,"DUKI is not a person, dookie/duki is what some people call shit",P.S. I forgot to apologise for assuming the worst. I am sorry! I hope it hasn't put you off.,0
97,"Could you point me somewhere where I can read about the ""concrete political issues which have arisen within Britain""? I am honestly not sure which issues you are talking about (and haven't heard of Mona Baker)","You could turn up plenty of info by putting ""Mona Baker"" or ""boycott Israel"" into search forms at British newspaper websites.",0
98,"BabyDweezil, you are using inflammatory language here. Plus, the guy who you claimed ""serves as a propaganda minister"" was sued with similar arguments as yours, and won in court.","Please stick to the topic and explain how the Dvorkin quote can be considered ""criticism"" worthy of an encyclopedia article.",1
99,"I wasn't exactly disagree with you on Cool Cat's RfA. I just , well, I think he's made a lot of contribs, and isn't cut out for admin, but that's my opinion. I know it was just an example. *hugs* And how are you? I haven't heard from ya in a bit. '","Heh, I bet my wikiphilosphy lit up the poor vandal bot IRC channel like it was New Years with my language. '",0
100,"Hiding within a cloak of Anonymity, user M-again lashes out at others — masking a deep-seated sense of cultural and personal inferiority.",Off thread: This repeated comment from is bordering on a Personal Attack. Can we keep the debate on the editing not the editors. ',0
101,"Actually, we're arguing about Christianity's criticism section too on its talk page....","I see. However, all the same. I will end the POV disputes by removing the unnecessary elements off the article itself. -",0
102,This is more or less it fr:image:gif except there is a circle around it and the arrow bit internally connects inside the circle to the bottom line on right which is then the source terminal. -,agree that we should include ALL symbols for a transistor type. That link on fr is broken. im SURE that it is technically possible to have a seperate bulk connection on an igfet though few practical discreet devices do.,0
103,I suspect he joined cause I issued all the warnings to him. It would be nice to have some rule to stop people like this.,AFH- vandal warnings should be at least an hour or so apart to give the person a chance to read the message. I think a min gap between vandaland vandalis a bit short.,0
104,Oh I see. But I don't believe anyone has said directly that all that is needed to confirm Fazul's death is a DNA test. We're assuming they have something to test it against?,"FBI/DIA got samples of Fazul's DNA in Comoros, where he used to live.",0
105,regarded as an NPOV source by many. Merriam-Webster dictionary ..a well recognized authority.,"You cannot claim that MW is more authoritative than de Soto, Rand, or Marx. Or specialized economic directories. Should MWs definition be in every introduction in Wikipedia?",0
106,"You appear to have misunderstood. The rating in November was the status quo. (see Evula's edit summary). Your edit changed it to ""TOP"". I am attempting to assume good faith, but your edit comments about ""bad faith"" and your (wilful?) misunderstanding of the facts of the case make it difficult. Why apologize to Evula when you have personally attacked me?",I only charged you with what you had changed those who reverted you. Please visit the talk page at WikiProject Films. I'm going to see if we can do anything to rid of the importance scale. I don't think it particularly helps film articles on Wikipedia. — • • review) -,0
107,"I don't see any official data predating the previous MK game that says that that background sprite was a major character either. Any thing saying that was just rumour, just as Ermac was until he was canonized years after his rumour originally surfaced.",I don't know why you continue to cling to the idea that Blaze was a ever a rumor at any point in history. You're going to have to provide a source for your unfounded claims.,0
108,"Right. So the argument is not about whether there is a burden of proof on NASA, we all agree that there is / was. What we disagree on is whether they met it.","Actually, what ""we"" think doesn't matter, which you as a wikipedia expert are well awere. The scientific community thinks they did, and a large majority of layman think so, too. Beware of letting your personal viewpoint influence your editing.",0
109,"'I agree with CheeseDreams here. Such focus on ""who wrote this"" over encyclopedic accuracy is a major source of both systemic and systematic bias, and does not make for good editorial decisions.'","Without getting involved in the debate, it's worrying that what appears to the outside reader to be an official warning from Wikipedia should be so badly spelt (and use impenetrable jargon); moreover, such matters are surely internal, not for the general reader. It doesn't give a very good impression of Wikipedia.",0
110,"Hmm, we'll talk about the formal stuff later. But learning from my mistakes, take a look at this talk thread on the Frontier Airlines article. I learned about Wikipedia's resource usage on this. Also, note its important to be flexible and try to relinquish ownership of your edits.","Hello, I wasn't sure if you had the page on your watchlist or not, I put my thoughts about the TRS article over on",0
111,"Go on then, but bear in mind that you need to state who you think it is first when doing a checkuser.","Crikey! All this for telling you you are a good Admin! Isn't that really an abuse of CheckUser? If I've done something wrong, please explain it to me.",0
112,"So to clarify (not being a WP:DICK, I swear!), nothing has changed, and the average readership still doesn't know why. Correct? ( /","Really, it boiled down to ""because we like it the way it is now"", with a bit of ""it works, don't fix it.""",0
113,"The U.S. is a ""mixed economy,"" not capitalism.I'm sorry to be the one to inform you that you've been duped.","Hehe, very good counter-argument there RJ. You go ahead and bury your head in the sand, I hope it gets you far in life.",0
114,"It's also far, 'far' too long. Imagine an equivalent of 'that' for Britain, France, Russia...! If a piece of that length really is justified apart from the Don't ask, don't tell article then it should be broken out from 'this' article and moved to something like Sexual orientation in the United States military.",I would suggest removing the US section and replacing it with a section of recent changes in policys and on-going debates which can then link to other countires more detailed histories.,0
115,I forgot to mention earlier that I went ahead and made the changes. ),"I didn't see this remark until just now, but earlier today, I made another change along these lines. Of course, since then the page has been vandalized a bunch of times (sigh)! Assuming the page isn't currently vandalized, read it and see what you think...",0
116,Do we have clear documentation that the video is directly linked to the download release?,"I didn't find anything directly linking the video to the download release, but SonyBMG did call it a single in their news letter",0
117,"I don't think calling someone a terrorist is appropriate and coming from a book, add a real reference.","Dacy you better respond you cry to other admins and users about me but you dont dare to reply, you are in the ruling of vandalism.",0
118,"Yes, I know. But it has to be dealt with in a civil manner. You should use the standard vandal warning templates, which can be found at WP:UTM.","Alright, I will try to stay more calm next time. Thanks for the warning.",0
119,"I guess some people never learn. Hey, are you an administrator? Can you extend 's block and/or protect his sockpuppets user and talk pages, that is, after I tag all of them with the right sockpuppet/meatpuppet templates?",Probably should find another admin to do it; I prefer to keep my checkuser job and sockpuppet blocking separate.,0
120,Hm. Give it time and let others join? Or is there no other that may have something to say?,"This article is too short, especially since the only sources are a dictionary and your own ideas. This should redirect to Marriage because there's almost nothing here.",0
121,"As a general rule, I tend to remove links to them. However, if they quote their sources (and quote them right!) and are actually valuable, I let them.","Okay, I won't remove every single link as I was going to ).",0
122,"Hi, I have actually been trying. Most of the images seem to be originally from the Arecibo Radio Telescope but I can't find any information on whether or not they're copyrighted (I'm sure they wouldn't mind the images being used for educational purposes, but they don't say for certain). I'll have another go, but their website isn't very helpful.",Do you know where Image:geographos-jpg came from? It's on WP:IS for tagging...,0
123,"Justanother, it is another innovative theory that POS material is not allowed in an article. It certainly 'is' allowed, otherwise we'd have to slash through many many articles in Wikipedia. The way to attain NPOV is 'not' to remove ""POV material"", it is to add counterpoint material. Please leave the Hein material in. If you wish to start DR over it then that would be most acceptable.","POV material is allowed if 'supported by a reliable source'. , if you have a secondary source that can be used to source Hein's ""views"" than please supply it. In the meantime, please don't continue acting on your own novel theory that any POV nonsense ""certainly 'is' allowed."" Thank you.",0
124,"since you have the source , please feel free to add it..But still, I still stand by what I said..I've never heard or read (until today) about tamil speaking veddas..Vedda speak their own language, which could well be similar to early ""elu/hela"" languages spoken in our country.",And how about the most of the coastal Sinhalese take up their ancestral language of Malayalam or Tamil ? That would be good swap I think:-)))[[,0
